name, folder
プリキュア, プリキュア
魔道祖師,魔道祖師
ARIA　The　ORIGINATION, ARIA
ジョジョ,ジョジョの奇妙な冒険
アイカツ,アイカツシリーズ
金曜ロードSHOW,映画関連
ワンピース,ワンピース
ワールドウィッチーズ,ワールドウィッチーズ
ロンドンハーツ,ロンドンハーツ
ラブライブ,ラブライブ
ゆるキャン,ゆるキャン
ムヒョとロージーの魔法律相談事務所,ムヒョとロージーの魔法律相談事務所
まじっく快斗1412,まじっく快斗1412
ポケットモンスター,ポケモン
ひぐらしのなく頃に 業,ひぐらしのなく頃に
プリパラ,プリパラ
はたらく細胞,はたらく細胞
のんのんびより,のんのんびより
ドラえもん,ドラえもん
とある魔術の禁書目録,とある魔術の禁書目録
デジモンアドベンチャー,デジモンアドベンチャー
たとえばラストダンジョン前の村の少年が序盤の街で暮らすような物語,たとえばラストダンジョン前の村の少年が序盤の街で暮らすような物語
スラムダンク,スラムダンク
しゃべくり００７,しゃべくり007
クレヨンしんちゃん,クレヨンしんちゃん
きんいろモザイク,きんいろモザイク
カンブリア宮殿,カンブリア宮殿
ガイアの夜明け,ガイアの夜明け
ウマ娘,ウマ娘
アメトーーク,アメトーーク
あたしンち,あたしンち
新世紀エヴァンゲリオン,新世紀エヴァンゲリオン
黒執事,黒執事
ソードアート・オンライン オルタナティブ ガンゲイル・オンライン,SAO
ARIA,ARIA
Bang Dream,Bang Dream
バンドリ,Bang Dream
BanG　Dream!,Bang Dream
Dr.STONE,Dr.STONE
HUNTER×HUNTER,HUNTER×HUNTER
アイドルマスター,アイドルマスター
日曜アニメ劇場,映画関連
日曜ロードSHOW,映画関連
名探偵コナン,名探偵コナン
転生したらスライムだった件,転生したらスライムだった件
蜘蛛ですが、なにか？,蜘蛛ですが、なにか？
水曜日のダウンタウン,水曜日のダウンタウン
出没！アド街ック天国,出没！アド街ック天国
呪術廻戦,呪術廻戦
五等分の花嫁,五等分の花嫁
月曜から夜ふかし,月曜から夜ふかし
宇宙よりも遠い場所,宇宙よりも遠い場所
ポケモン,ポケモン
こちら葛飾区亀有公園前派出所,こちら葛飾区亀有公園前派出所
SHIROBAKO,SHIROBAKO
アズールレーン,アズールレーン
Re：ゼロから始める異世界生活,リゼロ
Re：ゼロから始める異世界生活,リゼロ
BanG Dream!,Bang Dream
約束のネバーランド,約束のネバーランド
しゃべくり007,しゃべくり007
SSSS.GRIDMAN,SSSS.GRIDMAN
ダウンタウンのガキの使いやあらへんで！,ダウンタウンのガキの使いやあらへんで！
ブレイブウィッチーズ,ブレイブウィッチーズ
俺だけ入れる隠しダンジョン,俺だけ入れる隠しダンジョン
回復術士のやり直し,回復術士のやり直し
進撃の巨人,進撃の巨人
八十亀ちゃんかんさつにっき,八十亀ちゃんかんさつにっき
無職転生,無職転生
刀剣乱舞,刀剣乱舞
STEINS;GATE,シュタゲ